"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","PRCP","TAVG","TMAX","TMIN"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-11","15","-3","43","3628","15.77","19.4","26.5","12.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-12","15","-7","60","4599","5.47","33.7","40.3","27.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-01","0","12","56","5652","16.63","31.0","38.6","23.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-02","0","3","56","6747","15.64","25.9","33.3","18.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-03","0","16","57","7711","9.81","33.9","41.7","26.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-04","0","10","61","8761","8.31","30.0","38.6","21.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-05","14","14","83","9559","5.76","39.7","48.0","31.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-06","19","29","85","9945","1.60","51.3","61.2","41.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-07","19","30","72","521","1.66","47.6","56.5","38.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-08","59","40","83","692","0.67","60.8","70.8","50.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-09","59","28","72","1355","8.96","42.9","49.9","35.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-10","59","31","68","1917","8.28","46.9","53.5","40.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-11","59","12","61","2949","25.80","30.6","36.3","24.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1986-12","59","2","50","4016","10.39","30.6","36.2","24.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-01","0","8","46","5166","12.33","27.9","33.4","22.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-02","0","13","55","6144","7.99","30.1","36.0","24.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-03","0","16","57","7172","16.07","30.7","37.0","24.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-04","1","14","78","7939","7.06","38.4","46.9","29.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-05","1","10","74","8644","7.07","41.5","50.5","32.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-06","11","26","78","9101","1.69","49.6","59.9","39.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-07","13","31","77","462","2.70","50.1","59.6","40.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-08","27","32","83","802","1.49","53.7","63.4","44.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-09","41","28","89","1161","2.39","53.2","63.6","42.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-10","42","21","76","1647","0.25","48.1","57.7","38.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1987-11","42","14","58","2558","11.61","33.6","39.0","28.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-01","0","-5","50",,"12.61","25.1","31.9","18.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-02","0","4","59",,"11.15","31.4","38.4","24.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-03","0","12","56",,"17.72","29.2","35.9","22.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-04","0","11","64",,"10.78","35.8","44.1","27.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-05","0","19","73",,"8.24","39.0","47.7","30.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-06","0","28","76",,"2.94","45.5","54.0","36.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-07","16","31","83","360","1.22","53.3","63.3","43.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-08","27","30","84","734","1.02","52.4","63.4","41.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-09","59","27","89","1237","5.00","47.9","58.0","37.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-10","63","25","75","1742","10.63","48.8","57.7","40.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-11","63","10","55","2836","26.95","26.0","32.4","19.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1988-12","63","-6","53","3952","11.99","27.9","35.5","20.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-01","0","-5","52","5226","21.54","23.9","32.1","15.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-02","0","-18","38","6464","8.43","19.1","25.5","12.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-03","0","4","46","7637","16.45","27.2","33.1","21.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-04","0","17","64","8434","6.83","38.4","45.9","31.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-05","0","21","62","9266","4.58","38.2","46.0","30.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-06","0","28","74","9745","2.03","47.9","57.6","38.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-07","0","32","73","487","2.22","48.7","58.2","39.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-08","1","34","77","925","2.09","49.9","57.1","42.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-09","2","31","76","1303","0.81","51.9","60.8","43.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-10","2","23","64","2069","7.31","39.5","46.7","32.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-11","2","12","55","3045","19.41","32.5","39.0","25.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1989-12","2","14","58","3983","9.29","33.6","40.4","26.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-01",,,,,"21.95",,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-02",,,,,,,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-03",,"11","52",,"7.54","32.7","40.3","25.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-04",,"18","64",,"11.13","38.0","46.7","29.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-05",,"17","72",,"7.07","37.5","46.6","28.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-06",,"25","75",,"6.82","43.6","53.8","33.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-07",,"28","92","306","2.12","54.4","67.6","41.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-08",,"28","83","693","4.89","53.3","64.0","42.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-09",,"32","76","1091","0.78","51.7","63.1","40.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-10",,"15","71","2062","17.81","33.7","41.4","26.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-11",,"8","56","3118","32.37","29.8","35.8","23.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1990-12",,"-14","41","4542","16.70","19.0","25.0","13.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-01","0","12","44","5677","16.78","27.1","32.2","22.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-02","0","19","52","6462","15.49","35.9","41.9","29.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-03","0","12","52","7631","15.13","27.3","33.9","20.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-04","0","16","58","8562","14.73","32.7","40.0","25.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-05","0","20","56","9435","5.44","36.9","44.4","29.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-06","0","23","66","10167","3.92","40.6","48.4","32.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-07","7","34","79","408","0.91","52.1","62.6","41.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-08","16","30","80","721","2.74","55.0","64.7","45.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-09","17","28","77","1079","0.79","52.9","62.0","43.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-10","22","14","79","1813","5.28","41.0","49.6","32.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-11","22","13","50","2781","25.01","30.5","35.8","25.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1991-12","22","12","45","3753","18.59","30.1","35.6","24.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-01","0","15","50","4838","18.81","30.0","35.5","24.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-02","0","20","58","5696","9.00","34.3","40.5","28.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-03","0","19","57","6524","2.81","38.3","45.7","30.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-04","0","15","66","7371","10.76","35.8","43.3","28.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-05","0","18","77","7896","0.83","46.4","57.3","35.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-06","22","30","82","8313","1.87","51.8","62.0","41.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-07","35","34","82","403","3.36","51.8","60.5","43.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-08","47","31","83","684","1.43","55.3","66.2","44.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-09","50","24","74","1291","7.98","44.9","54.2","35.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-10","50","16","70","2048","5.68","40.6","48.5","32.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-11","50","15","55","3107","20.24","29.7","35.7","23.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1992-12","50","8","41","4398","16.84","22.0","27.8","16.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-01","0","2","50","5752","12.38","21.3","27.3","15.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-02","0","-1","47","6871","1.42","25.1","31.5","18.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-03","0","16","54","7909","11.44","31.5","39.0","24.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-04","0","16","46","8958","12.41","30.0","36.1","23.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-05","0","21","73","9594","5.34","44.5","53.9","35.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-06","0","21","70","10320","5.95","40.8","48.8","32.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-07","0","30","67","718","3.83","41.8","49.3","34.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-08","2","26","78","1183","1.54","50.1","60.2","39.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-09","2","23","83","1587","0.00","51.3","62.4","40.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-10","2","23","72","2288","4.49","42.4","50.8","33.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-11","2","1","49","3421","6.59","27.2","34.2","20.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1993-12","2","9","53","4491","14.50","29.3","35.5","23.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-01","0","18","53","5554","14.35","30.7","35.9","25.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-02","0","1","43","6621","18.26","25.5","30.6","20.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-03","0","11","62","7575","12.17","34.2","41.0","27.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-05",,"24","70",,"4.10","41.4","49.5","33.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-07",,"32","85","316","1.18","55.3","65.8","44.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-08",,"35","76","747","0.61","51.1","61.3","40.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-09",,"31","74","1076","5.84","52.1","62.1","42.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-10",,"18","62","1910","14.00","36.3","44.2","28.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-11",,"6","38","2986","22.85","23.4","28.9","17.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1994-12",,"6","44","4112","25.61","25.0","30.3","19.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-01","0","17","47","5200","14.00","29.9","34.5","25.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-02","0","0","58","6111","13.35","32.5","39.3","25.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-03","0","12","65","7152","13.54","30.4","36.6","24.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-04","0","18","56","8043","7.32","32.2","38.8","25.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-05","0","21","70","8708","4.15","42.9","50.8","35.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-06",,,,,"5.53",,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-07",,,,,"2.26",,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-08",,"30",,,"3.48",,,"37.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-09",,"34","77",,"5.20","52.0","60.7","43.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-10",,"21","62",,"13.81","35.7","42.3","29.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-11",,,,,"35.42",,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1995-12",,"10","51",,"18.00","28.8","34.4","23.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-02",,"2","60",,"25.35","29.4","35.4","23.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-03",,"14","56",,"7.21","30.7","36.9","24.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-04",,"18","62",,"13.86","34.1","40.1","28.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-05",,,,,"7.17",,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-06",,,,,"1.57",,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-07",,,"85",,"3.84",,"68.0",
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-08",,,,,"1.09",,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-09",,"24","75",,"6.35","43.6","52.2","35.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-10",,"15","74",,"9.70","37.7","45.0","30.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1996-12",,"5","41",,"32.05","23.5","29.7","17.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-01","0","11","43",,"22.29","27.4","32.1","22.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-02","0","14","49",,"12.35","28.6","34.3","22.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-03","0","15","52",,"24.26","26.8","33.0","20.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-04","0","12","55",,"9.61","31.5","38.0","25.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-05","0","21","70",,"5.41","43.5","51.8","35.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-06",,,,,,,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-08",,"40","78",,"1.88","56.8","66.2","47.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-09",,"33","74",,"10.13","49.5","57.5","41.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-10",,"15","63",,"15.70","36.6","43.0","30.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-11",,"12","56",,"12.86","33.8","38.7","29.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1997-12",,"14","54",,"15.07","29.7","35.5","23.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-01","0","5","41",,"17.64","25.6","30.5","20.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-02","0","12","42",,"10.35","28.1","33.0","23.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-03","0","13","53",,"9.90","30.1","35.9","24.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-04","0","12","69",,"2.95","34.9","41.8","27.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-05",,"21",,,"5.00",,,"32.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-06",,"29","67",,"3.13","45.4","52.9","37.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-07",,"38","85","245","0.77","58.1","67.8","48.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-08",,"31","85","550","1.32","55.0","65.0","45.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-09",,"33","82","887","1.40","53.5","62.8","44.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-10",,"21","66","1611","9.71","39.2","46.5","31.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-11",,"12","43","2695","24.66","28.9","33.1","24.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1998-12",,"-8","42","3981","31.42","23.5","29.1","18.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-01","0","12","43","5116","21.94","27.2","32.4","22.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-02",,,"38",,,,"28.9",
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-03",,"12","56",,"13.61","26.6","32.5","20.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-04",,"15","64",,"3.81","31.9","39.9","24.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-05",,"17","69",,"4.38","34.4","42.1","26.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-06",,,,,,,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-07",,"15","76","409","0.68","50.0","60.8","39.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-08",,"29","78","739","0.47","54.5","64.1","44.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-09",,"23","76","1183","0.37","49.9","59.1","40.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-10",,,,,"4.43",,,
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-11",,"19","59",,"21.41","34.5","41.6","27.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1999-12",,"8","63",,"26.33","31.4","38.8","24.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","2000-01","0","12","41",,"21.99","24.0","29.5","18.5"
